140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/js/bootstrap.min.js HTTP/1.1" 200 50676
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/js/popper.min.js HTTP/1.1" 200 20495
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/js/jquery.pogo-slider.min.js HTTP/1.1" 200 27639
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/js/slider-index.js HTTP/1.1" 200 363
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/js/smoothscroll.js HTTP/1.1" 200 7217
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/js/form-validator.min.js HTTP/1.1" 200 6055
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/images/care.jpg HTTP/1.1" 200 72239
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/js/contact-form-script.js HTTP/1.1" 200 1546
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/js/custom.js HTTP/1.1" 200 2196
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/images/weight.png HTTP/1.1" 200 311277
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/images/diet.jpg HTTP/1.1" 200 131869
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/images/exercise.jpg HTTP/1.1" 200 157001
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/images/sleep.jpg HTTP/1.1" 200 191048
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/images/body%20fat.jpg HTTP/1.1" 200 32586
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/images/metabolism.jpg HTTP/1.1" 200 43090
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/images/Food%20allergy.jpg HTTP/1.1" 200 75991
140.124.72.231 - - [23/Dec/2019:11:48:13 +0800] "GET /login_demo/images/Alcohol%20addiction.jpg HTTP/1.1" 200 60518
140.124.72.231 - - [23/Dec/2019:11:48:14 +0800] "GET /login_demo/images/Cigarette%20addiction.jpg HTTP/1.1" 200 36245
